Individual,"""age""","""mass"""
"""74""",130,0.2285
"""96""",176,0.2092
"""1018""",182,0.2236
"""70""",191,0.2432
"""69""",207,0.2186
"""73""",239,0.2616
"""104""",242,0.2352
"""54""",243,0.2531
"""57""",247,0.2503
"""65""",249,0.2544
"""58""",251,0.2225
"""105""",267,0.2499
"""109""",280,0.229
"""56""",281,0.2646
"""111""",281,0.2391
"""1088""",293,0.2224
"""106""",298,0.2521
"""72""",302,0.2515
"""64""",307,0.2466
"""100""",309,0.2447
"""103""",314,0.2722
"""108""",318,0.2754
"""107""",319,0.2652
"""63""",521,0.3194
"""110""",531,0.2688
"""95""",560,0.332
"""55""",561,0.3322
"""51""",566,0.2958
"""71""",579,0.299
"""50""",585,0.3096
"""97""",588,0.3121
"""53""",609,0.3299
"""1063""",629,0.3476
"""99""",634,0.344
"""1076""",655,0.3084
"""67""",665,0.3528
"""68""",665,0.3211
"""62""",668,0.3395
"""49""",676,0.3522
"""66""",678,0.317
"""1011""",688,0.3281
"""59""",690,0.3261
"""1000""",705,0.36
"""89""",903,0.3964
"""94""",932,0.378
"""974""",938,0.3668
"""102""",955,0.3391
"""45""",990,0.3536
"""60""",999,0.4008
"""92""",1002,0.3765
"""52""",1004,0.3936
"""47""",1018,0.3955
"""101""",1019,0.3785
"""61""",1024,0.3677
"""48""",1048,0.4192
"""46""",1199,0.4075
"""87""",1222,0.3889
"""40""",1237,0.3954
"""44""",1295,0.4296
"""98""",1314,0.3877
"""960""",1335,0.3947
"""42""",1346,0.4029
"""20""",1370,0.4592
"""18""",1406,0.4293
"""19""",1440,0.4142
"""39""",1546,0.4281
"""84""",1581,0.4418
"""41""",1625,0.4221
"""93""",1626,0.3745
"""37""",1638,0.4235
"""946""",1657,0.4394
"""81""",1668,0.4309
"""86""",1669,0.4298
"""80""",1679,0.4202
"""90""",1685,0.4577
"""82""",1701,0.4303
"""91""",1702,0.4085
"""38""",1704,0.4183
"""43""",1707,0.3831
"""32""",1709,0.439
"""83""",1719,0.4623
"""75""",1725,0.414
"""79""",1732,0.4317
"""945""",1753,0.4288
"""951""",1927,0.4363
"""88""",1971,0.4131
"""77""",2036,0.4693
"""78""",2069,0.4283
"""981""",2092,0.4486
"""34""",2107,0.459
"""30""",2108,0.4246
"""36""",2131,0.4472
"""35""",2138,0.4432
"""85""",2341,0.4318
"""16""",2386,0.4611
"""33""",2389,0.4638
"""17""",2500,0.5073
"""31""",2515,0.4578
"""15""",2734,0.4426
"""28""",2809,0.4634
"""27""",2859,0.4629
"""76""",3080,0.4914
"""29""",3111,0.4927
"""26""",3113,0.4908
"""908""",3461,0.4918
"""25""",3481,0.496
"""24""",3795,0.4922
"""905""",4048,0.5372
"""23""",4851,0.4955
"""21""",5391,0.5485
"""22""",5393,0.5179
